experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,delta_ece_weight_high_low,faith_delta_density_in,faith_delta_density_out,faith_delta_eta_in,faith_delta_eta_out,auc_adv_de_vs_eta,auc_adv_de_vs_random,stability_delta_density,stability_delta_eta
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,-0.05840494764268506,0.10063702191084918,-0.006877517559919499,nan,nan,-0.02130000000000004,0.00896250000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,-0.0406799933117242,0.06039688200057164,-0.002344676817805369,nan,nan,-0.02107500000000001,0.00847500000000001,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_21a0127f,-0.12811960196765246,0.02489428408976966,0.06718419906106166,-0.49103761562353754,-0.16736635701005176,-0.009899999999999964,0.0015750000000000486,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_2256d0e9,-0.060374364775646165,0.09231294927966259,-0.007740993799751239,nan,nan,-0.02137500000000009,0.008062499999999972,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_3a71610e,0.021019687086782535,0.04786700681171413,-0.004121345340164506,nan,nan,-0.016912499999999997,0.00374999999999992,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_4325dfc4,-0.0406799933117242,0.06039688200057164,-0.002344676817805369,nan,nan,-0.02107500000000001,0.00847500000000001,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_5346b242,-0.060374364775646165,0.10063702191084918,-0.006877517559919499,nan,nan,-0.02137500000000009,0.008062499999999972,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_5c0cbf38,-0.14006566662457526,0.029871477935415176,0.06975096957446136,nan,nan,-0.013575000000000115,-0.0009000000000000119,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_6157bf78,-0.12811960196765246,0.02489428408976966,0.06718419906106166,-0.49103761562353754,-0.16736635701005176,-0.009899999999999964,0.0015750000000000486,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,-0.0406799933117242,0.06039688200057164,-0.002344676817805369,nan,nan,-0.02107500000000001,0.00847500000000001,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_7c49a0aa,0.05160053027864603,0.04312649054656907,0.0028901525666256145,nan,nan,-0.016800000000000037,0.004500000000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_86bd88f0,-0.14006566662457526,0.029871477935415176,0.06975096957446136,nan,nan,-0.013575000000000115,-0.0009000000000000119,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_9cc2ba65,0.07251956419541439,0.04312649054656907,0.0028901525666256145,nan,nan,-0.017999999999999905,0.004575000000000051,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_a1dfe6aa,0.06735577896210625,0.049938725247637816,-0.004121345340164506,nan,nan,-0.016912499999999997,0.00374999999999992,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_aefbbe78,-0.14006566662457526,0.029871477935415176,0.06975096957446136,nan,nan,-0.013575000000000115,-0.0009000000000000119,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_c2b7879e,-0.12811960196765246,0.02489428408976966,0.06718419906106166,-0.49103761562353754,-0.16736635701005176,-0.009899999999999964,0.0015750000000000486,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_cfaa4cd4,0.06834570031547857,0.04786700681171413,-0.004121345340164506,nan,nan,-0.016912499999999997,0.005025000000000002,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_d6685588,0.06768100714508785,0.040474955976256,0.0006760291192027812,nan,nan,-0.016800000000000037,0.004500000000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_0bdf60ee,-0.051986140560337776,0.036609214041967375,-0.07078852256370533,nan,nan,-0.0010124999999999718,0.023212500000000025,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_1553fee4,-0.06778473618970998,0.02576910015673714,-0.09987371971644121,-0.1542472465012366,0.15289254213586417,0.004237500000000005,0.03063750000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_1f74c6d4,0.04350599093067528,0.05049554946703135,-0.03857372460499747,nan,nan,0.004687500000000067,0.02718750000000003,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_2fe5580f,-0.031339349941898936,0.04010701757661922,-0.01045799548230536,nan,nan,0.0007500000000000284,0.03172500000000006,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3c1f13f2,0.0056471281845829335,0.02932515092974213,-0.03683012400454461,nan,nan,-0.00011250000000001537,0.030374999999999985,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3d0915e1,-0.025458310557827275,0.010849541412768796,-0.027662372767074506,nan,nan,-0.007912499999999933,0.018750000000000044,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3eb46890,-0.08539402784988558,0.07500610692985375,-0.07549804395085569,nan,nan,0.00033749999999987956,0.026662499999999867,0.0,0.0
