experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,run_dir,bin_type,region,bin_id,mean_delta,ci95,n
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,in,0,0.0746222777492594,0.01855858571041053,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,in,1,0.05549155155462185,0.017064303193172786,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,in,2,0.1752592996601086,0.08500456765169659,29
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,out,0,0.6364167047411167,0.028489830128141554,57
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,out,1,0.6571162170407845,0.03598329983437282,22
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,density,out,2,0.6295391871811972,0.06390792720613214,29
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,eta,in,1,0.09415335224063413,0.03019769566163096,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,eta,in,2,0.09978004229953455,0.0377436150203689,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,eta,out,1,0.5941187831942341,0.03885756416630768,39
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_0dd5793d,eta,out,2,0.6640335192582683,0.028604279698667006,69
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,in,0,0.07336023425007021,0.021222055754375295,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,in,1,0.03889887507017318,0.01083038496026692,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,in,2,0.13375711625064185,0.06088073663896505,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,out,0,0.6317246815704182,0.0278220446036204,47
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,out,1,0.6546071564889862,0.025236591515243677,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,density,out,2,0.6293800047526128,0.04553255846567851,31
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_1f3c72e3,eta,in,1,0.09842787938536127,0.03095646962579987,40
